song_id,danceability,duration_ms,energy,acousticness,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
79SZRWIbDwQeuGvgsAA0EC,0.245,236973,0.992,0.0023,1,0.42,11,0.104,-2.72,0,0.1910,135.023,0.171
50YQFbfIVk2XMnVFKAuuib,0.414,278667,0.421,0.2940,0,0.000821,4,0.135,-9.488,0,0.0331,113.108,0.185
5A7ZY7Ne45YzSCVmQYggkP,0.477,236333,0.943,0.0132,1,0,5,0.051,-4.973,0,0.0532,93.041,0.457
4nGil2gSvOVDRFGb1julsJ,0.442,254760,0.791,0.1760,0,9.53E-05,4,0.121,-5.167,1,0.0596,71.224,0.459
0Mbd5y1ZlWzSUR2jNQAJXY,0.248,122870,0.419,0.4580,0,0.649,2,0.284,-14.917,0,0.0397,103.209,0.035
4QbKevGgXsbtO5uPD5ws9E,0.575,47320,0.182,0.9690,0,0.986,7,0.375,-23.637,1,0.0681,100.037,0.263
2GoOioZVtOF1iMYfnzkreg,0.646,239907,0.932,0.0450,1,2.85E-06,1,0.276,-4.178,1,0.2760,176.111,0.518
1akkzUk0nUq90X56xDVGHZ,0.471,177280,0.924,0.0030,0,0,8,0.313,-3.906,1,0.0586,154.961,0.725
22v9ZVkWWAYjderL7ZWuuH,0.569,234000,0.572,0.6400,0,0.56,6,0.092,-11.363,1,0.0265,110.031,0.658
5iqrbO0fhuLMiy9tYGanv6,0.616,225751,0.933,0.0259,0,0,0,0.359,-3.762,0,0.0513,129.952,0.806
61UPQMUu5ZYUY1oKpUgtAU,0.646,202133,0.708,0.5610,0,0,8,0.169,-3.456,1,0.0467,120.032,0.853
4TZzzWTrTyW8F4FoFFKvec,0.291,481333,0.016,0.9240,0,0.0876,2,0.208,-31.355,1,0.0382,129.440,0.057
1FssTKSXO3JLiQc3udfK5I,0.834,220227,0.775,0.0069,0,2.42E-05,0,0.476,-6.144,0,0.1800,133.979,0.767
27kGlAZVLGtgbWSuCbxXge,0.734,66947,0.724,0.6790,0,0.842,7,0.258,-11.339,0,0.0398,116.982,0.850
4uWUyC3hNH036n6sGCWggZ,0.665,249600,0.913,0.0001,0,0.412,1,0.384,-2.299,1,0.0461,100.005,0.439
00K2YLugNIEG4zCPoQVegm,0.535,230533,0.902,0.5480,0,0.000163,0,0.109,-6.001,0,0.2340,84.929,0.415
6HnGbBVxaEIdrppg7uh3jb,0.491,241840,0.711,0.2960,0,0,5,0.331,-5.621,0,0.0331,94.061,0.256
5c8nmgU5vm9CyupuKmRaTq,0.596,131000,0.812,0.0257,0,0.00174,9,0.189,-6.076,1,0.0790,92.551,0.398
4CV3GcAHLsYhWCQAoooQZW,0.613,186827,0.594,0.4930,0,6.61E-06,10,0.396,-5.412,1,0.0277,134.080,0.507
63tqSZIWPIbNCcOb9A2gHY,0.764,169867,0.721,0.0275,0,0.16,0,0.201,-4.827,1,0.0337,105.020,0.851
1p3vijWl4pezgUtyCmCVln,0.619,418507,0.521,0.2600,1,0.000542,3,0.101,-8.092,0,0.0744,139.886,0.254
5SIoLK4aqXc2UzNrhVHwtp,0.660,271727,0.748,0.7250,0,0.00065,8,0.127,-4.855,1,0.0440,90.963,0.750
0O8cjpT4jO3ngCdkxf9726,0.884,193738,0.612,0.0268,1,1.60E-05,7,0.108,-8.26,1,0.2950,123.992,0.332
1aW2tNqlixguxGc8M4hV1D,0.320,277240,0.314,0.4970,0,0.00705,0,0.113,-10.666,1,0.0319,88.996,0.051
3X01VeoR0GckfiXlFRrJmF,0.425,247002,0.273,0.7450,0,0,11,0.093,-10.712,0,0.0355,137.994,0.365
6pwt5G9ZKwM6I0GKVfIBb4,0.670,221627,0.954,0.0007,1,0.000271,9,0.133,-2.632,0,0.0363,105.998,0.882
67sTxPPOUxcpZ9aXDTLUNx,0.532,121867,0.737,0.5670,0,0.0206,2,0.292,-7.441,1,0.3900,172.769,0.515
5OULYbjWNukOzjjR7GlMGO,0.641,214680,0.441,0.0897,0,0.000601,0,0.114,-6.993,1,0.0327,177.811,0.962
6EVbOYrewYsrt8AGyZodyh,0.613,72080,0.128,0.8720,0,0,2,0.100,-13.851,1,0.4640,179.205,0.321
6LSxkY68uoiwDaZZM0zZ2l,0.583,202173,0.856,0.0016,1,0,0,0.310,-5.565,1,0.0545,148.750,0.288
2RMWA3mvD4nxBR1sGF7wRp,0.804,240320,0.880,0.0287,0,9.88E-05,5,0.301,-4.05,0,0.1590,123.118,0.382
4UFxT3SIb314tvoAv8WPTi,0.675,188347,0.901,0.0013,0,0,2,0.051,-4.534,1,0.0488,137.956,0.966
6ntqezTa3kJ05AburXDS6L,0.580,183920,0.592,0.6250,0,0.779,8,0.187,-8.942,1,0.0249,106.238,0.569
4EIhAE4eO8sbT7cLgGFydA,0.440,298320,0.834,0.0049,0,0.00149,2,0.127,-5.337,1,0.0353,94.649,0.246
53CUl8RvJqbBPm31SiSg7Q,0.823,158933,0.472,0.0422,1,0,1,0.217,-6.968,1,0.1130,136.114,0.257
7pWzcvjSSXlGS0Cn790Nb7,0.495,228693,0.735,0.0701,0,0,0,0.274,-4.445,1,0.0332,151.978,0.222
1KmquVzXEoIHUZuZqKGRvs,0.592,223867,0.387,0.2500,0,6.79E-05,7,0.088,-8.086,1,0.0270,128.820,0.329
0nHQAxZgzAcKGRxAsOISTc,0.807,221980,0.815,0.1490,0,0,7,0.333,-5.684,0,0.0395,128.029,0.833
1q8kj0fpTfdGYgjuJd2UTM,0.827,332600,0.713,0.0155,1,0,8,0.717,-5.511,1,0.1310,130.201,0.283
7AHhmlNBa9JZ7y9XgPrt6t,0.772,289587,0.615,0.1130,0,0,8,0.058,-7.983,0,0.0633,119.962,0.704
7tf64lNC31lWlTsih0nfZf,0.414,215827,0.424,0.3340,0,4.95E-06,10,0.131,-9.497,1,0.0399,132.430,0.325
582EVyAFKmKPa1bVPSDurJ,0.486,195987,0.677,0.0025,0,0,5,0.102,-5.227,1,0.0314,120.576,0.913
3gC0JHukQwxtfkOzFiOe39,0.395,294920,0.518,0.0327,0,0.000858,1,0.155,-9.2,1,0.0359,140.021,0.038
5RvY3ReERt9o622MqEydNY,0.607,252240,0.686,0.0025,0,4.56E-06,10,0.090,-4.611,1,0.0306,132.032,0.268
6x7oPOBrfsqx9WbON5X1go,0.558,246414,0.117,0.9640,0,0.000686,5,0.085,-16.958,1,0.0345,131.847,0.174
4IACOiO4fczuCkYFdYxDGu,0.517,232253,0.828,0.1560,1,0,4,0.901,-4.223,1,0.0493,147.955,0.511
1xI7M6PDSXLll1dt9j2snA,0.493,193627,0.790,0.0177,0,0,2,0.322,-5.238,0,0.0435,142.420,0.326
6EZgdjK4buOwWrmkTVbv7c,0.505,233787,0.839,0.1850,0,0,7,0.041,-4.557,1,0.0538,160.154,0.511
6KkcL4OkeMDy54S9z82xW0,0.575,141227,0.843,0.3770,0,0,8,0.142,-3.806,1,0.0464,82.076,0.659
1x8r3r17cmZ1jpX7B2B8y2,0.575,198107,0.882,0.0011,0,0,11,0.045,-4.295,0,0.1090,120.994,0.581
1B5tiGNcOHERcXcBHiL6Xs,0.548,273240,0.254,0.5900,0,1.55E-05,3,0.094,-8.981,1,0.0314,143.769,0.039
1vwEwDzfHlcdZssRaVkhEj,0.545,225200,0.847,0.0018,0,0.764,0,0.231,-6.488,1,0.0318,126.936,0.208
5PcCSUGriuhWuyyWxuBnnM,0.653,196780,0.200,0.9060,0,0.00276,8,0.192,-10.744,1,0.0440,127.609,0.319
